segmentKey,routeCode,scheduledRouteCode,fromNodeKey,toNodeKey,segmentDistance,magneticCourse,reverseMagneticCourse
R001:S001,R001,,R001:N001,R001:N002,31,37,217
R001:S002,R001,,R001:N002,R001:N003,32,74,254
R001:S003,R001,,R001:N003,R001:N004,33,111,291
R001:S004,R001,,R001:N004,R001:N005,34,148,328
R001:S005,R001,,R001:N005,R001:N006,35,185,5
R002:S001,R002,,R002:N001,R002:N002,31,37,217
R002:S002,R002,,R002:N002,R002:N003,32,74,254
R002:S003,R002,,R002:N003,R002:N004,33,111,291
R002:S004,R002,,R002:N004,R002:N005,34,148,328
R002:S005,R002,,R002:N005,R002:N006,35,185,5
R003:S001,R003,,R003:N001,R003:N002,31,37,217
R003:S002,R003,,R003:N002,R003:N003,32,74,254
R003:S003,R003,,R003:N003,R003:N004,33,111,291
R003:S004,R003,,R003:N004,R003:N005,34,148,328
R003:S005,R003,,R003:N005,R003:N006,35,185,5
SFR001:S001,,SFR001,SFR001:N001,SFR001:N002,41,43,
SFR001:S002,,SFR001,SFR001:N002,SFR001:N003,42,86,
SFR001:S003,,SFR001,SFR001:N003,SFR001:N004,43,129,
SFR002:S001,,SFR002,SFR002:N001,SFR002:N002,41,43,
SFR002:S002,,SFR002,SFR002:N002,SFR002:N003,42,86,
SFR002:S003,,SFR002,SFR002:N003,SFR002:N004,43,129,
SFR003:S001,,SFR003,SFR003:N001,SFR003:N002,41,43,
SFR003:S002,,SFR003,SFR003:N002,SFR003:N003,42,86,
SFR003:S003,,SFR003,SFR003:N003,SFR003:N004,43,129,
