runwayCode,airportCode,length,width,entryLatitude,entryLongitude,exitLatitude,exitLongitude
Z001-01/19,Z001,3171,46,47.952003,95.206891,47.972003,95.226891
Z001-10/28,Z001,2698,69,47.952003,95.206891,47.972003,95.226891
Z002-01/19,Z002,2367,46,47.130964,92.658340,47.150964,92.678340
Z002-10/28,Z002,2512,52,47.130964,92.658340,47.150964,92.678340
Z003-01/19,Z003,2859,44,19.880629,85.357524,19.900629,85.377524
Z003-10/28,Z003,3888,51,19.880629,85.357524,19.900629,85.377524
Z004-01/19,Z004,2404,46,46.331436,121.140605,46.351436,121.160605
Z004-10/28,Z004,2861,67,46.331436,121.140605,46.351436,121.160605
Z005-01/19,Z005,3520,46,39.708739,78.023545,39.728739,78.043545
Z005-10/28,Z005,2724,62,39.708739,78.023545,39.728739,78.043545
