nodeKey,routeCode,scheduledRouteCode,sequenceNumber,nodeCode,nodeName,nodeTypeCode,latitude,longitude,navigationAidCode,reportingPointCode
R001:N001,R001,,1,P00101,模拟节点1,RPT,44.384594,89.138351,NAV001,
R001:N002,R001,,2,P00102,模拟节点2,RPT,29.478471,108.852927,,RPT001
R001:N003,R001,,3,P00103,模拟节点3,RPT,27.661908,98.426375,,
R001:N004,R001,,4,P00104,模拟节点4,RPT,27.547022,113.687191,,
R001:N005,R001,,5,P00105,模拟节点5,RPT,29.607424,96.678025,,
R001:N006,R001,,6,P00106,模拟节点6,RPT,34.622654,101.206305,,
R002:N001,R002,,1,P00201,模拟节点1,RPT,39.410601,117.807613,NAV001,
R002:N002,R002,,2,P00202,模拟节点2,RPT,26.449816,113.272957,,RPT001
R002:N003,R002,,3,P00203,模拟节点3,RPT,25.203901,101.533015,,
R002:N004,R002,,4,P00204,模拟节点4,RPT,43.315917,105.653813,,
R002:N005,R002,,5,P00205,模拟节点5,RPT,42.952226,99.765560,,
R002:N006,R002,,6,P00206,模拟节点6,RPT,40.997219,81.157012,,
R003:N001,R003,,1,P00301,模拟节点1,RPT,21.827998,84.886908,NAV001,
R003:N002,R003,,2,P00302,模拟节点2,RPT,22.756118,117.953860,,RPT001
R003:N003,R003,,3,P00303,模拟节点3,RPT,24.602591,83.235553,,
R003:N004,R003,,4,P00304,模拟节点4,RPT,36.835133,123.552165,,
R003:N005,R003,,5,P00305,,RPT,29.123120,118.985788,,
R003:N006,R003,,6,P00306,模拟节点6,RPT,39.891111,124.122031,,
SFR001:N001,,SFR001,1,S00101,模拟班机节点1,NAV,35.815760,85.668860,NAV002,
SFR001:N002,,SFR001,2,S00102,模拟班机节点2,NAV,29.215159,118.720071,NAV002,
SFR001:N003,,SFR001,3,S00103,模拟班机节点3,NAV,40.704686,90.302667,NAV002,
SFR001:N004,,SFR001,4,S00104,模拟班机节点4,NAV,44.779911,91.346147,NAV002,
SFR002:N001,,SFR002,1,S00201,模拟班机节点1,NAV,36.108075,89.567350,NAV002,
SFR002:N002,,SFR002,2,S00202,模拟班机节点2,NAV,41.461766,114.320445,NAV002,
SFR002:N003,,SFR002,3,S00203,模拟班机节点3,NAV,36.027948,105.130943,NAV002,
SFR002:N004,,SFR002,4,S00204,模拟班机节点4,NAV,34.257527,95.619666,NAV002,
SFR003:N001,,SFR003,1,S00301,模拟班机节点1,NAV,40.830171,105.569588,NAV002,
SFR003:N002,,SFR003,2,S00302,模拟班机节点2,NAV,30.232496,106.869072,NAV002,
SFR003:N003,,SFR003,3,S00303,模拟班机节点3,NAV,38.562587,100.470940,NAV002,
SFR003:N004,,SFR003,4,S00304,模拟班机节点4,NAV,26.573093,92.684274,NAV002,
