directionKey,runwayCode,directionIdentifier
Z001-01/19:01,Z001-01/19,01
Z001-01/19:19,Z001-01/19,19
Z001-10/28:10,Z001-10/28,10
Z001-10/28:28,Z001-10/28,28
Z002-01/19:01,Z002-01/19,01
Z002-01/19:19,Z002-01/19,19
Z002-10/28:10,Z002-10/28,10
Z002-10/28:28,Z002-10/28,28
Z003-01/19:01,Z003-01/19,01
Z003-01/19:19,Z003-01/19,19
Z003-10/28:10,Z003-10/28,10
Z003-10/28:28,Z003-10/28,28
Z004-01/19:01,Z004-01/19,01
Z004-01/19:19,Z004-01/19,19
Z004-10/28:10,Z004-10/28,10
Z004-10/28:28,Z004-10/28,28
Z005-01/19:01,Z005-01/19,01
Z005-01/19:19,Z005-01/19,19
Z005-10/28:10,Z005-10/28,10
Z005-10/28:28,Z005-10/28,28
